year,country_name,gdp_per_capita_2015_dollar,physicians_per_1000,hospital_beds_per_1000,crop_production_index,life_expectancy_at_birth,total_fertility_rate
2007,Argentina,12857.09258,3.4366333333333334,4.2,85.6,75.006,2.37
2007,Brazil,7909.825247,1.6833333333333333,2.47,77.72,72.365,1.881
2007,France,36464.95927,3.449,7.35,93.28,81.11219512,1.98
2007,Germany,37842.35779,3.533,8.35,91.69,79.53414634,1.37
2007,Poland,9731.769454,2.168,6.36,90.34,75.24390244,1.31
2007,Nigeria,2088.60443,0.373,0.5,78.37,50.033,6.08
2007,Kenya,1309.895639,0.16383333333333333,1.4,83.84,58.865,4.719
2007,United Kingdom,44508.6058,2.492,3.39,86.86,79.44878049,1.86
2007,China,4319.031398,1.298,2.02,77.42,74.762,1.666
2007,Japan,33990.03603,2.115,13.87,108.09,82.50707317,1.34
2008,Argentina,13246.63489,3.520277777777778,4.3,87.18,75.641,2.341
2008,Brazil,8231.100373,1.72325,2.57,84.38,72.715,1.842
2008,France,36354.65866,3.443,7.18,100.16,81.21463415,2.01
2008,Germany,38278.31301,3.58,8.3,100.26,79.73658537,1.38
2008,Poland,10139.11914,2.139,6.55,95.01,75.54390244,1.39
2008,Nigeria,2170.058816,0.371,0.5,83.65,50.225,6.078
2008,Kenya,1274.404679,0.169,1.4,81.69,59.614,4.646
2008,United Kingdom,44060.0031,2.571,3.34,100.18,79.6,1.91
2008,China,4711.643449,1.347,2.17,82.16,74.872,1.701
2008,Japan,33557.6454,2.147,13.71,108.94,82.58756098,1.37
2009,Argentina,12336.86194,3.6039222222222222,4.4,62.18,75.936,2.344
2009,Brazil,8142.761048,1.7631666666666668,2.55,82.14,72.948,1.825
2009,France,35129.36224,3.394,6.92,103.75,81.41463415,2.0
2009,Germany,36190.39289,3.648,8.3,103.7,79.83658537,1.36
2009,Poland,10419.21487,2.148,6.58,99.11,75.69512195,1.4
2009,Nigeria,2281.386346,0.373,0.5,73.67,50.712,6.039
2009,Kenya,1278.140902,0.171,1.4,80.75,60.365,4.514
2009,United Kingdom,41709.96617,2.653,3.27,96.15,80.05121951,1.89
2009,China,5128.904128,1.423,2.33,83.79,75.343,1.714
2009,Japan,31651.08377,2.1799999999999997,13.61,104.43,82.93146341,1.37
2010,Argentina,13551.33919,3.6875666666666667,4.5,86.69,75.721,2.346
2010,Brazil,8673.898383,1.8030833333333334,2.55,87.79,73.182,1.81
2010,France,35638.12156,3.397,6.67,98.02,81.66341463,2.03
2010,Germany,37760.91363,3.734,8.29,91.64,79.98780488,1.39
2010,Poland,10755.65644,2.156,6.51,88.29,76.24634146,1.41
2010,Nigeria,2397.323545,0.37375,0.5,84.62,50.945,5.98
2010,Kenya,1342.768702,0.172,1.4,93.82,60.649,4.367
2010,United Kingdom,42310.74991,2.656,2.93,95.03,80.40243902,1.92
2010,China,5647.068727,1.463,2.51,86.35,75.599,1.687
2010,Japan,32942.20208,2.213,13.51,100.44,82.84268293,1.39
2011,Argentina,14200.26989,3.771211111111111,4.41,93.46,76.124,2.338
2011,Brazil,8935.277314,1.843,2.51,93.54,73.343,1.8
2011,France,36244.18716,3.172,6.6,100.82,82.11463415,2.01
2011,Germany,39977.34171,3.822,8.26,90.66,80.43658537,1.39
2011,Poland,11291.90359,2.181,6.53,92.25,76.69512195,1.33
2011,Nigeria,2455.746494,0.3745,0.5,78.01,51.357,5.918
2011,Kenya,1374.544246,0.177,1.3922222222222222,86.46,61.046,4.219
2011,United Kingdom,42462.10673,2.691,2.88,99.42,80.95121951,1.91
2011,China,6152.696873,1.489,2.73,90.95,75.903,1.668
2011,Japan,33011.13423,2.2485,13.38,100.36,82.59121951,1.39
2012,Argentina,13895.63371,3.8548555555555555,4.6,82.09,76.467,2.33
2012,Brazil,9025.313996,1.8595,2.47,90.56,73.552,1.767
2012,France,36182.15113,3.188,6.58,97.23,81.96829268,2.01
2012,Germany,40069.35396,3.892,8.22,94.85,80.53902439,1.41
2012,Poland,11466.41593,2.201,6.53,96.53,76.74634146,1.33
2012,Nigeria,2490.213111,0.37525,0.5,86.87,51.497,5.832
2012,Kenya,1401.490825,0.185,1.3844444444444444,92.55,61.115,4.088
2012,United Kingdom,42805.84252,2.697,2.8,85.71,80.90487805,1.92
2012,China,6591.662494,1.565,3.05,93.5,76.192,1.798
2012,Japan,33518.44494,2.284,13.33,101.42,83.09609756,1.41
2013,Argentina,14071.50868,3.9385,4.8,90.59,76.491,2.322
2013,Brazil,9216.13228,1.876,2.45,97.26,73.918,1.748
2013,France,36203.19087,3.209,6.52,96.03,82.2195122,1.99
2013,Germany,40135.01583,3.984,8.17,96.18,80.4902439,1.42
2013,Poland,11571.61485,2.208,6.51,95.65,77.0,1.29
2013,Nigeria,2585.647196,0.376,0.5,83.37,51.707,5.738
2013,Kenya,1420.078692,0.194,1.3766666666666667,100.34,61.389,3.952
2013,United Kingdom,43282.20975,2.706,2.75,89.62,81.00487805,1.83
2013,China,7056.423092,1.661,3.33,95.7,76.452,1.714
2013,Japan,34239.88625,2.319,13.28,101.07,83.33195122,1.43
2014,Argentina,13567.94842,3.95575,4.86,94.16,76.755,2.312
2014,Brazil,9183.459727,1.9465,2.44,98.65,74.306,1.767
2014,France,36378.61866,3.225,6.46,105.3,82.7195122,2.0
2014,Germany,40851.16173,4.064,8.14,107.61,81.0902439,1.47
2014,Poland,12024.60951,2.273,6.53,105.29,77.60243902,1.32
2014,Nigeria,2677.493581,0.3983333333333333,0.5,95.08,51.791,5.664
2014,Kenya,1457.543066,0.2,1.3688888888888888,101.59,61.816,3.844
2014,United Kingdom,44337.67864,2.742,2.72,104.19,81.30487805,1.81
2014,China,7532.785301,1.715,3.58,97.36,76.717,1.769
2014,Japan,34386.90586,2.354,13.18,101.89,83.58780488,1.42
2015,Argentina,13789.06042,3.973,4.97,104.14,76.76,2.301
2015,Brazil,8783.215424,2.017,2.35,102.82,74.332,1.777
2015,France,36652.92231,3.24,6.4,103.95,82.32195122,1.96
2015,Germany,41103.25644,4.12,8.09,97.52,80.64146341,1.5
2015,Poland,12560.05142,2.294,6.54,92.36,77.45121951,1.32
2015,Nigeria,2679.554223,0.4206666666666667,0.5,97.29,51.841,5.616
2015,Kenya,1496.653573,0.19025,1.3611111111111112,98.27,61.892,3.8
2015,United Kingdom,44964.39114,2.773,2.61,102.87,80.95609756,1.8
2015,China,8016.445595,1.8,3.82,101.49,76.977,1.67
2015,Japan,34960.63938,2.39,13.15,99.82,83.79390244,1.45
2016,Argentina,13360.21183,3.987,4.97,101.71,76.308,2.241
2016,Brazil,8426.843221,2.0875,2.32,98.53,74.442,1.709
2016,France,36956.7958,3.255,6.32,90.75,82.57317073,1.92
2016,Germany,41682.03224,4.187,8.06,94.87,80.9902439,1.6
2016,Poland,12936.57326,2.381,6.54,102.35,77.85121951,1.39
2016,Nigeria,2570.959759,0.443,0.5,107.64,52.043,5.584
2016,Kenya,1525.743551,0.1805,1.3533333333333333,100.15,62.163,3.724
2016,United Kingdom,45482.17829,2.783,2.57,92.94,81.15609756,1.79
2016,China,8516.528742,1.891,4.06,101.14,77.218,1.772
2016,Japan,35242.19938,2.426,13.11,98.3,83.98487805,1.44
2017,Argentina,13595.03736,3.979,5.02,106.82,76.833,2.168
2017,Brazil,8470.940604,2.158,2.3,109.59,74.827,1.736
2017,France,37694.0833,3.275,6.23,103.14,82.57560976,1.89
2017,Germany,42639.55441,4.251,8.01,95.45,80.99268293,1.57
2017,Poland,13599.81802,2.343,6.53,103.14,77.75365854,1.48
2017,Nigeria,2526.99961,0.4095,0.5,109.74,52.305,5.523
2017,Kenya,1550.203457,0.17075,1.3455555555555556,97.26,62.481,3.643
2017,United Kingdom,46373.63853,2.814,2.54,101.62,81.25609756,1.74
2017,China,9053.228725,2.006,4.34,103.12,77.248,1.813
2017,Japan,35861.97285,2.462,13.05,98.65,84.0997561,1.43
2018,Argentina,13105.39716,4.02375,3.71,92.2,76.999,2.039
2018,Brazil,8553.865902,2.2305,2.26,109.91,75.109,1.749
2018,France,38259.69777,3.276,6.16,95.93,82.67560976,1.87
2018,Germany,42928.74124,4.311,7.98,81.78,80.89268293,1.57
2018,Poland,14408.38439,2.8,6.44,93.26,77.60243902,1.46
2018,Nigeria,2512.080475,0.376,0.5,114.88,52.554,5.447
2018,Kenya,1604.802932,0.161,1.3377777777777777,108.89,62.676,3.58
2018,United Kingdom,46740.55359,2.834,2.5,91.3,81.25609756,1.68
2018,China,9619.209475,2.124,4.6,104.39,77.744,1.554
2018,Japan,36138.52908,2.498,13.0,96.95,84.21097561,1.42
2019,Argentina,12716.2242,4.0685,3.71,113.14,77.284,1.994
2019,Brazil,8592.211207,2.303,2.24,112.23,75.338,1.703
2019,France,38832.0242,3.311,6.1,98.39,82.82682927,1.86
2019,Germany,43292.68389,4.391,7.91,88.69,81.29268293,1.54
2019,Poland,15053.23237,3.257,6.09,90.07,77.90487805,1.44
2019,Nigeria,2505.462239,0.367,0.5,109.64,52.91,5.379
2019,Kenya,1653.828985,0.161,1.33,108.66,62.943,3.469
2019,United Kingdom,47240.59962,2.942,2.45,101.7,81.40487805,1.63
2019,China,10155.51088,2.258,4.83,107.84,77.968,1.496
2019,Japan,36043.7844,2.556,12.88,97.86,84.35634146,1.36
2020,Argentina,11346.65211,3.895,3.2,106.59,75.892,1.911
2020,Brazil,8255.568013,2.303,2.43,116.58,74.009,1.649
2020,France,35806.61789,3.324,6.0,89.97,82.17560976,1.83
2020,Germany,41601.97316,4.459,7.8,90.66,81.04146341,1.53
2020,Poland,14774.9892,3.714,6.11,107.75,76.5,1.39
2020,Nigeria,2401.183415,0.367,0.5,112.71,52.887,5.309
2020,Kenya,1616.502404,0.161,1.33,137.6,62.675,3.397
2020,United Kingdom,42191.91737,3.041,2.43,83.04,80.35121951,1.56
2020,China,10358.17,2.387,5.0,107.94,78.077,1.281
2020,Japan,34650.79678,2.614,12.72,95.99,84.56,1.33
