,year,year_code,country_name,country_code,total_fertility_rate,gdp_2015_dollar,gdp_per_capita_2015_dollar,gdp_growth,physicians_per_1000,hospital_beds_per_1000,arable_land_hectare_per_person,cpi,crop_production_index,food_production_index,percent_of_household_expenditure_in_gdp,life_expectancy_at_birth,infant_mortality_rate,child_mortality_rate,female_percentage_in_labor
251,1999,YR1999,Brazil,BRA,2.331,1140000000000.0,6551.226671,0.467937566,1.364,,0.25864293,49.0746922,52.84,55.27,64.68011944,69.524,32.2,37.0,52.061
252,1999,YR1999,France,FRA,1.81,1970000000000.0,32546.93405,3.421373799,3.355,8.300000191,0.303334864,82.99811716,106.61,107.74,53.61302899,78.75609756,4.3,5.5,48.917
253,1999,YR1999,Germany,DEU,1.36,2760000000000.0,33559.39937,1.887261154,3.217,9.199999809,0.143994702,84.48203974,96.44,92.66,56.19724396,77.72682927,4.5,5.5,48.963
254,1999,YR1999,Poland,POL,1.37,269000000000.0,6950.797735,4.654891852,2.282,5.099999905,0.363991241,69.19698328,100.52,94.11,62.63413043,73.04390244,8.7,10.0,49.691
255,1999,YR1999,Nigeria,NGA,6.082,171000000000.0,1429.405592,0.584126893,,,0.292408495,27.68087574,63.76,64.06,,46.614,112.6,187.9,
256,1999,YR1999,Kenya,KEN,5.181,36412543752.0,1215.163924,2.305388595,,,0.170064344,34.63162722,62.19,62.02,78.58002959,54.495,60.5,100.3,70.438
257,1999,YR1999,United Kingdom,GBR,1.68,2200000000000.0,37440.79406,3.066176125,1.913,4.199999809,0.1008308,80.51599778,99.81,97.87,66.49770716,77.3902439,5.6,6.7,53.784
258,1999,YR1999,China,CHN,1.53,2550000000000.0,2038.206474,7.6616515,1.244,2.519999981,0.095023888,80.68937558,58.43,60.65,46.20561664,71.419,31.9,39.1,
259,1999,YR1999,Japan,JPN,1.34,3880000000000.0,30636.26612,-0.333929958,,14.80000019,0.035560013,103.366974,115.01,102.63,54.09736476,80.46097561,3.4,4.7,49.595
260,2000,YR2000,Argentina,ARG,2.591,396000000000.0,10672.72204,-0.788998939,,4.1,0.745600834,,60.89,69.14,69.3320118,73.926,17.3,19.4,44.11
