Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]",Arable land (hectares per person) [AG.LND.ARBL.HA.PC],Consumer price index (2010 = 100) [FP.CPI.TOTL],Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]","Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]"
1983,YR1983,France,FRA,1.86,1.36E+12,24356.65929,1.240864862,2.1,10.80000019,0.31555924,53.77503827,87.88,95.58,56.16176181,74.8,9.1,11.1,,45.854,
1983,YR1983,Germany,DEU,1.33,1.89E+12,24221.34037,1.57241017,,,0.153171165,60.31848334,81.54,96.16,59.43284232,73.62214634,10.4,12.5,,40.111,
1983,YR1983,Poland,POL,2.42,,,,1.9,,0.395769331,0.100866391,115.81,104.85,,71,19.2,21.9,,,
1983,YR1983,Nigeria,NGA,6.775,1.16E+11,1459.737683,-10.92408503,,,0.339224474,0.649350954,22.16,24.58,,46.638,122.9,207,,36.68,
1983,YR1983,Kenya,KEN,7.263,21799967946,1206.453693,1.309050241,,,0.210299577,4.150304178,29.69,32.82,61.14428298,61.012,64.3,99.6,,,
1983,YR1983,United Kingdom,GBR,1.77,1.40E+12,24801.93163,4.221856313,,,0.122468511,42.79753005,85.96,95.02,64.96711001,74.37804878,10.3,12.2,,45.645,
1983,YR1983,China,CHN,2.559,5.37E+11,524.4093632,10.77020251,1.32,2.289999962,0.104855811,,32.72,26.47,53.49573051,65.904,42.8,56,,,
1983,YR1983,Japan,JPN,1.8,2.52E+12,21122.96484,3.630198572,,,0.040592757,84.75193925,129.43,105.14,52.51038533,76.92195122,6.2,8.3,,49,
1984,YR1984,Argentina,ARG,3.123,2.87E+11,9624.404556,1.570738702,2.683,,0.867083306,,39.87,48.95,,69.195,28.2,32.1,,,
1984,YR1984,Brazil,BRA,3.6,7.75E+11,5788.087171,5.4,0.927,,0.384901572,9.92E-09,36.56,32.39,78.07760783,63.773,65.1,80.1,,,
1984,YR1984,France,FRA,1.86,1.38E+12,24600.99236,1.513721603,2.5,10.69999981,0.316459852,57.90162857,98.32,102.47,56.11091467,75,8.8,10.7,,46.443,
1984,YR1984,Germany,DEU,1.29,1.95E+12,24991.33368,2.82294781,,,0.153508886,61.76962143,94.8,102.68,59.22716695,74.07229268,9.8,11.8,,40.707,
1984,YR1984,Poland,POL,2.37,,,,1.9,,0.393858314,0.116400823,125.39,111.26,,70.8,18.6,21.1,,,
1984,YR1984,Nigeria,NGA,6.701,1.15E+11,1408.208654,-1.115623217,,,0.33274913,0.765068757,23.67,25.99,,46.55,122.9,207,,,
1984,YR1984,Kenya,KEN,7.123,22182604684,1182.871887,1.755216977,,,0.198633021,4.577125536,25.27,30.5,64.22484329,60.804,63,97.3,,,
1984,YR1984,United Kingdom,GBR,1.77,1.43E+12,25324.60262,2.269105172,,,0.122682485,44.92059183,105.44,102.04,65.08395975,74.77804878,10,11.7,,47.153,
1984,YR1984,China,CHN,2.607,6.18E+11,596.2011091,15.19154002,1.33,2.329999924,0.109951052,,35.26,28.22,50.69102135,66.3,42.2,54.9,,,
