year,country_name,total_fertility_rate,child_mortality_rate,food_production_index,percent_of_household_expenditure_in_gdp,gdp_per_capita_2015_dollar,physicians_per_1000
2009,China,1.714,17.0,85.1,35.32729591,5128.904128,1.423
2009,Japan,1.37,3.3,98.31,57.61411925,31651.08377,
2010,Argentina,2.346,14.5,88.2,64.23411476,13551.33919,
2010,Brazil,1.81,18.6,89.08,60.22282916,8673.898383,
2010,France,2.03,4.2,98.59,55.35569033,35638.12156,3.397
2010,Germany,1.39,4.2,94.55,55.10868039,37760.91363,3.734
2010,Poland,1.41,6.0,91.19,62.13266052,10755.65644,2.156
2010,Nigeria,5.98,135.3,85.24,,2397.323545,
2010,Kenya,4.367,53.3,98.14,72.82572138,1342.768702,0.172
2010,United Kingdom,1.92,5.2,94.39,63.8534136,42310.74991,2.656
2010,China,1.687,15.7,87.79,34.32634109,5647.068727,1.463
2010,Japan,1.39,3.2,96.15,56.86856542,32942.20208,2.213
2011,Argentina,2.338,13.9,92.78,64.22032128,14200.26989,
2011,Brazil,1.8,17.9,92.3,60.27385176,8935.277314,1.843
2011,France,2.01,4.2,100.92,54.98251285,36244.18716,3.172
2011,Germany,1.39,4.1,95.21,54.38668528,39977.34171,3.822
2011,Poland,1.33,5.7,93.24,61.47778026,11291.90359,2.181
2011,Nigeria,5.918,132.9,78.94,,2455.746494,
2011,Kenya,4.219,52.1,93.55,76.01175636,1374.544246,0.177
2011,United Kingdom,1.91,5.0,96.67,63.96441696,42462.10673,2.691
2011,China,1.668,14.6,90.95,34.92042834,6152.696873,1.489
2011,Japan,1.39,3.2,94.97,57.22006823,33011.13423,
2012,Argentina,2.33,13.3,86.64,64.90339911,13895.63371,
2012,Brazil,1.767,17.2,91.55,61.41186683,9025.313996,
2012,France,2.01,4.1,97.79,54.71887262,36182.15113,3.188
2012,Germany,1.41,4.0,96.12,54.9069504,40069.35396,3.892
2012,Poland,1.33,5.4,96.02,61.61865001,11466.41593,2.201
2012,Nigeria,5.832,130.9,86.95,,2490.213111,
2012,Kenya,4.088,51.3,96.4,75.20151804,1401.490825,0.185
2012,United Kingdom,1.92,4.8,90.81,64.19101192,42805.84252,2.697
2012,China,1.798,13.5,93.74,35.38653491,6591.662494,1.565
2012,Japan,1.41,3.0,96.88,57.67911944,33518.44494,2.284
2013,Argentina,2.322,12.8,94.03,65.98756553,14071.50868,3.9385
2013,Brazil,1.748,16.7,97.65,61.71525008,9216.13228,1.876
2013,France,1.99,4.1,96.25,54.63569856,36203.19087,3.209
2013,Germany,1.42,4.0,97.08,54.55684991,40135.01583,3.984
2013,Poland,1.29,5.2,95.19,61.09435712,11571.61485,2.208
2013,Nigeria,5.738,129.1,84.66,,2585.647196,0.376
2013,Kenya,3.952,50.1,101.73,76.49696253,1420.078692,0.194
2013,United Kingdom,1.83,4.6,92.79,64.73095571,43282.20975,2.706
2013,China,1.714,12.5,95.75,35.83313112,7056.423092,1.661
2013,Japan,1.43,2.9,100.92,58.13846101,34239.88625,
2014,Argentina,2.312,12.2,95.14,65.38307973,13567.94842,
2014,Brazil,1.767,16.3,98.98,62.95957071,9183.459727,
2014,France,2.0,4.1,102.48,54.30970362,36378.61866,3.225
2014,Germany,1.47,4.0,102.97,53.42225092,40851.16173,4.064
2014,Poland,1.32,5.0,101.74,60.27013581,12024.60951,2.273
2014,Nigeria,5.664,127.7,95.48,,2677.493581,
2014,Kenya,3.844,48.9,102.26,76.06804651,1457.543066,0.2
2014,United Kingdom,1.81,4.5,100.68,64.35844241,44337.67864,2.742
2014,China,1.769,11.5,97.62,36.70789836,7532.785301,1.715
2014,Japan,1.42,2.8,100.86,57.63158453,34386.90586,2.354
2015,Argentina,2.301,11.8,103.91,65.90583734,13789.06042,3.973
2015,Brazil,1.777,15.9,101.68,63.96479727,8783.215424,
2015,France,1.96,4.2,102.22,54.04624751,36652.92231,3.24
2015,Germany,1.5,3.9,99.27,52.97004805,41103.25644,4.12
2015,Poland,1.32,4.9,96.53,58.91482265,12560.05142,2.294
2015,Nigeria,5.616,126.2,97.74,,2679.554223,
2015,Kenya,3.8,47.5,102.07,75.51675787,1496.653573,
2015,United Kingdom,1.8,4.5,101.35,64.09373368,44964.39114,2.773
2015,China,1.67,10.7,101.33,37.77300366,8016.445595,1.8
2015,Japan,1.45,2.8,99.72,55.77079666,34960.63938,
2016,Argentina,2.241,11.4,100.95,65.72189147,13360.21183,3.987
2016,Brazil,1.709,16.7,99.34,64.2514796,8426.843221,
2016,France,1.92,4.2,95.29,54.26329455,36956.7958,3.255
2016,Germany,1.6,3.9,97.76,52.75448682,41682.03224,4.187
2016,Poland,1.39,4.8,101.73,58.8300269,12936.57326,2.381
2016,Nigeria,5.584,124.5,106.78,,2570.959759,0.443
2016,Kenya,3.724,46.3,95.67,76.40732156,1525.743551,
2016,United Kingdom,1.79,4.4,97.98,64.74271268,45482.17829,2.783
2016,China,1.772,9.9,101.05,38.67498195,8516.528742,1.891
2016,Japan,1.44,2.7,99.42,54.70149969,35242.19938,2.426
2017,Argentina,2.168,11.0,105.91,66.73957332,13595.03736,3.979
2017,Brazil,1.736,15.3,106.98,64.49430634,8470.940604,2.158
2017,France,1.89,4.2,101.33,53.98438649,37694.0833,3.275
2017,Germany,1.57,3.9,97.5,52.10840608,42639.55441,4.251
2017,Poland,1.48,4.6,106.19,59.45468869,13599.81802,2.343
2017,Nigeria,5.523,122.4,109.08,,2526.99961,
2017,Kenya,3.643,45.4,90.64,77.91296198,1550.203457,
2017,United Kingdom,1.74,4.4,102.21,64.19844205,46373.63853,2.814
2017,China,1.813,9.2,102.37,38.54274622,9053.228725,2.006
2017,Japan,1.43,2.6,99.87,54.61369476,35861.97285,
2018,Argentina,2.039,10.6,97.51,69.47018229,13105.39716,
2018,Brazil,1.749,15.0,107.51,64.61607497,8553.865902,
2018,France,1.87,4.3,97.17,53.88176563,38259.69777,3.276
2018,Germany,1.57,3.8,91.87,52.09971921,42928.74124,4.311
2018,Poland,1.46,4.5,102.62,58.85367829,14408.38439,
2018,Nigeria,5.447,119.9,114.06,,2512.080475,0.376
2018,Kenya,3.58,44.3,100.31,77.10290786,1604.802932,0.161
2018,United Kingdom,1.68,4.4,99.59,64.65968562,46740.55359,2.834
2018,China,1.554,8.6,103.42,38.52188052,9619.209475,2.124
2018,Japan,1.42,2.5,99.67,54.77466993,36138.52908,2.498
2019,Argentina,1.994,10.3,112.42,66.12758631,12716.2242,4.0685
2019,Brazil,1.703,14.8,109.12,65.14404739,8592.211207,2.303
2019,France,1.86,4.2,98.0,53.60917447,38832.0242,3.311
2019,Germany,1.54,3.7,94.41,51.9423104,43292.68389,4.391
2019,Poland,1.44,4.4,101.5,57.77953342,15053.23237,
2019,Nigeria,5.379,116.9,109.77,,2505.462239,0.367
2019,Kenya,3.469,43.4,107.28,77.4226613,1653.828985,
2019,United Kingdom,1.63,4.3,104.43,63.92079219,47240.59962,2.942
2019,China,1.496,8.0,104.25,39.24806213,10155.51088,2.258
2019,Japan,1.36,2.5,100.39,54.55458113,36043.7844,
2020,Argentina,1.911,10.0,108.57,65.70470681,11346.65211,3.895
2020,Brazil,1.649,14.5,111.97,63.14400091,8255.568013,
2020,France,1.83,4.2,93.7,53.19647843,35806.61789,3.324
2020,Germany,1.53,3.7,95.45,50.19981021,41601.97316,4.459
2020,Poland,1.39,4.4,111.87,56.52953023,14774.9892,3.714
2020,Nigeria,5.309,113.9,112.64,,2401.183415,
2020,Kenya,3.397,43.0,125.82,76.43936064,1616.502404,
2020,United Kingdom,1.56,4.3,98.14,59.2158963,42191.91737,3.041
2020,China,1.281,7.5,105.49,38.20031239,10358.17,2.387
2020,Japan,1.33,2.4,100.3,54.05305069,34650.79678,2.614
2021,Argentina,1.885,9.7,108.4,62.99008318,12444.31827,
2021,Brazil,1.641,14.3,112.13,61.36799664,8603.152214,2.142
2021,France,1.84,4.1,96.72,52.57505841,38002.19424,
2021,Germany,1.58,3.6,94.49,49.35769672,42900.02252,4.518
2021,Poland,1.33,4.4,110.69,56.1877732,15863.23111,
2021,Nigeria,5.237,110.6,117.33,,2429.58529,0.395
2021,Kenya,3.335,41.9,123.29,75.49614963,1705.74039,0.226
2021,United Kingdom,1.56,4.2,100.53,59.95134144,45889.61102,3.171
2021,China,1.164,7.0,109.89,38.11356525,11223.25535,
